SITE_ID,NFI_SITE,NEAREST_TOWN,PROVINCIAL_MUNICIPALS,PUBLIC_LATTITUDE,PUBLIC_LONGITUDE,ELEVATION,PANEL,CENTER_OF_9_PANELS,ECOZONE_,WHITE_GREEN_ZONE,FOREST_MANAGEMENT_AGREEMENTS,LANDUSE_FRAMEWORK,NATIONAL_PARKS,NATURAL_REGIONS,NATURAL_SUBREGIONS,PROVINCIAL_PROTECTED_AREAS,SUSTAINABLE_RESOURCE_DEVELOPME,WATERSHEDS,WPAC
"945","1293826","Neerlandia","Woodlands","54.42448","-114.955154","720.2692261","E",,"Boreal PLain","Green Area",,"Upper Athabasca",,"Boreal","Central Mixedwood",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"946","1293831","Neerlandia","Woodlands","54.395313","-114.672905","644.8427124","E",,"Boreal PLain","Green Area",,"Upper Athabasca",,"Boreal","Central Mixedwood","Other Provincial Protected Areas","Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"947","1293836","Neerlandia","Barrhead","54.345501","-114.447365","680.2650147","A",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"948","1293841","Jarvie","Westlock","54.330906","-114.030411","614.8903198","A",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"949","1293846","Pibroch","Westlock","54.293087","-113.779305","627.8745117","A",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central Athabasca - Upper","Athabasca Watershed Council"
"950","1293851","Rochester","Westlock","54.25745","-113.510941","652.1381226","C",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central Athabasca - Lower","Athabasca Watershed Council"
"951","1293856","Thorhild","Thorhild","54.232067","-113.197128","666.2335815","C",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"952","1293861","Waskatenau","Smoky Lake","54.201492","-112.810097","654.5313721","C",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"953","1293866","Smoky Lake","Smoky Lake","54.191296","-112.577133","597.6124268","D",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"954","1293871","Smoky Lake","Smoky Lake","54.135212","-112.3311","600.1990967","D",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"955","1293876","Vilna","Smoky Lake","54.127819","-111.966194","638.15448","D",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"956","1293881","Saddle Lake","Smoky Lake","54.045712","-111.691193","644.1705933","B",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"957","1293886","St. Paul","St. Paul","54.041615","-111.403084","666.4055176","B",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"958","1293891","St. Paul","St. Paul","53.975182","-111.109261","665.3460083","B",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"959","1293896","Elk Point","St. Paul","53.926502","-110.809654","597.1834717","E",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"960","1293901","Sputinow","St. Paul","53.946247","-110.475677","643.9509888","E",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Central Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"961","1293906","Sputinow","Vermilion River","53.864643","-110.222214","612.8071899","E",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Central Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"962","1300626","Beaverlodge","Greenview","54.556538","-119.940193","1072.286011","C",,"Boreal PLain","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Upper Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"963","1300631","Wembley","Greenview","54.568817","-119.633614","1031.456055","C",,"Boreal PLain","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Upper Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"964","1300636","Wembley","Greenview","54.558941","-119.280182","1183.592041","C",,"Boreal PLain","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Lower Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"965","1300641","Wembley","Greenview","54.533356","-118.984192","890.8051148","D",,"Boreal PLain","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Lower Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"966","1300646","Muskeg River","Greenview","54.490208","-118.678535","961.8117065","D",,"Boreal PLain","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Lower Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"968","1300656","Little Smoky","Greenview","54.498886","-118.141922","892.5479126","B",,"Boreal PLain","Green Area","Canadian Forest Products Ltd.","Upper Peace",,"Foothills","Lower Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"969","1300661","Little Smoky","Greenview","54.439407","-117.763863","884.9478149","B",,"Boreal PLain","Green Area","Canadian Forest Products Ltd.","Upper Peace",,"Foothills","Lower Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"970","1300666","Little Smoky","Greenview","54.465412","-117.456635","842.5123291","B",,"Boreal PLain","Green Area","ANC Timber Ltd.","Upper Peace",,"Foothills","Lower Foothills",,"Woodlands","Smoky","Mighty Peace Watershed Alliance"
"971","1300671","Fox Creek","Greenview","54.391407","-117.185303","846.1046143","E",,"Boreal PLain","Green Area","ANC Timber Ltd.","Upper Peace",,"Foothills","Lower Foothills",,"Woodlands","Smoky","Mighty Peace Watershed Alliance"
"972","1300676","Fox Creek","Greenview","54.367252","-116.853073","853.0479736","E",,"Boreal PLain","Green Area","Blue Ridge Lumber Inc.","Upper Peace",,"Foothills","Lower Foothills",,"Woodlands","Smoky","Mighty Peace Watershed Alliance"
"973","1300681","Fox Creek","Greenview","54.395325","-116.561417","892.1099243","E",,"Boreal PLain","Green Area","Blue Ridge Lumber Inc.","Upper Peace",,"Foothills","Lower Foothills",,"Woodlands","Smoky","Mighty Peace Watershed Alliance"
"975","1300691","Whitecourt","Woodlands","54.32518","-115.914856","831.5842285","A",,"Boreal PLain","Green Area","Millar Western Forest Products Limited","Upper Athabasca",,"Foothills","Lower Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"976","1300696","Whitecourt","Woodlands","54.28257","-115.62278","861.111084","A",,"Boreal PLain","Green Area","Blue Ridge Lumber Inc.","Upper Athabasca",,"Foothills","Lower Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"977","1300701","Blue Ridge","Woodlands","54.255611","-115.320938","788.5300293","C",,"Boreal PLain","Green Area","Blue Ridge Lumber Inc.","Upper Athabasca",,"Boreal","Central Mixedwood",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"978","1300706","Blue Ridge","Woodlands","54.249729","-115.048401","689.1599121","C","YES","Boreal PLain","Green Area",,"Upper Athabasca",,"Boreal","Central Mixedwood",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"979","1300711","Barrhead","Barrhead","54.221737","-114.777771","704.3223877","C",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Central Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"980","1300716","Barrhead","Barrhead","54.215267","-114.454956","679.1298218","D",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"981","1300721","Barrhead","Westlock","54.144859","-114.13311","623.0582275","D",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"982","1300726","Westlock","Westlock","54.103851","-113.773048","681.6038818","D",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"983","1300731","Vimy","Westlock","54.068432","-113.534599","637.4431763","B",,"Prairie","White Area",,"Upper Athabasca",,"Parkland","Central Parkland",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"984","1300736","Thorhild","Thorhild","54.054386","-113.208633","636.9556885","B",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"985","1300741","Waskatenau","Thorhild","54.028","-112.908401","628.8140259","B",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"986","1300746","Waskatenau","Lamont","53.985317","-112.625839","627.5366821","E",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"987","1300751","Andrew","Lamont","53.951618","-112.399071","614.8854981","E",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"988","1300756","Willingdon","Two Hills","53.917381","-112.030563","569.3905029","E",,"Prairie","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"989","1300761","Saddle Lake","Two Hills","53.857868","-111.749352","602.6074219","A",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"990","1300766","St. Paul","St. Paul","53.872204","-111.464218","639.3338013","A",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"991","1300771","Myrnam","St. Paul","53.823879","-111.167091","621.1915894","A",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"992","1300776","Elk Point","St. Paul","53.79871","-110.807312","652.9307861","C",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"993","1300781","Heinsburg","Vermilion River","53.771446","-110.54866","612.362915","C",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"994","1300786","Tulliby Lake","Vermilion River","53.726601","-110.260529","560.2305298","C",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"995","1307506","Grande Cache","Greenview","54.434975","-119.971832","1332.46106","C",,"Montane Cordillera","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Rocky Mountain","Subalpine",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"996","1307511","Grande Cache","Greenview","54.393799","-119.614182","1345.072021","C","YES","Montane Cordillera","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Upper Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"997","1307516","Grande Cache","Greenview","54.385773","-119.370354","1554.942993","C",,"Montane Cordillera","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Rocky Mountain","Subalpine",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"998","1307521","Grande Cache","Greenview","54.346844","-119.107841","1266.633057","D",,"Boreal PLain","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Upper Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"999","1307526","Muskeg River","Greenview","54.366093","-118.714645","1117.937988","D","YES","Boreal PLain","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Lower Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"1000","1307531","Muskeg River","Greenview","54.316402","-118.438721","1023.372009","D",,"Boreal PLain","Green Area","Canadian Forest Products Ltd.","Upper Peace",,"Foothills","Lower Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"1001","1307536","Muskeg River","Greenview","54.314766","-118.126053","1171.57605","B",,"Boreal PLain","Green Area","Canadian Forest Products Ltd.","Upper Peace",,"Foothills","Upper Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"1002","1307541","Little Smoky","Greenview","54.292706","-117.846184","1173.287964","B","YES","Boreal PLain","Green Area","Canadian Forest Products Ltd.","Upper Peace",,"Foothills","Upper Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"1003","1307546","Fox Creek","Greenview","54.266102","-117.516617","1123.935059","B",,"Boreal PLain","Green Area","ANC Timber Ltd.","Upper Peace",,"Foothills","Upper Foothills",,"Woodlands","Smoky","Mighty Peace Watershed Alliance"
"1004","1307551","Fox Creek","Greenview","54.261223","-117.282227","965.1901245","E",,"Boreal PLain","Green Area","ANC Timber Ltd.","Upper Peace",,"Foothills","Lower Foothills",,"Woodlands","Smoky","Mighty Peace Watershed Alliance"
"1005","1307556","Fox Creek","Greenview","54.193382","-116.921707","888.0482788","E","YES","Boreal PLain","Green Area","Blue Ridge Lumber Inc.","Upper Peace",,"Foothills","Lower Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1006","1307561","Fox Creek","Greenview","54.165482","-116.588928","878.7531738","E",,"Boreal PLain","Green Area","Blue Ridge Lumber Inc.","Upper Peace",,"Foothills","Lower Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1007","1307566","Whitecourt","Woodlands","54.189331","-116.269379","862.1879883","A",,"Boreal PLain","Green Area","Millar Western Forest Products Limited","Upper Athabasca",,"Foothills","Lower Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1009","1307576","Whitecourt","Woodlands","54.115536","-115.737389","703.9689941","A",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Central Mixedwood",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1010","1307581","Blue Ridge","Woodlands","54.098633","-115.361954","756.5142822","C",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Central Mixedwood",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1011","1307586","Mayerthorpe","Lac Ste. Anne","54.074818","-115.070145","715.6433716","C",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"1012","1307591","Sangudo","Barrhead","54.065475","-114.795044","661.2716065","C",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"1013","1307596","Barrhead","Barrhead","53.994289","-114.455849","663.3737793","D",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"1014","1307601","Busby","Barrhead","53.956932","-114.198227","688.5473023","D","YES","Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"1015","1307606","Busby","Westlock","53.951626","-113.908455","727.2305298","D",,"Prairie","White Area",,"Upper Athabasca",,"Parkland","Central Parkland",,"Woodlands","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1017","1307616","Gibbons","Sturgeon","53.878666","-113.254288","643.696228","B","YES","Prairie","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1018","1307621","Bruderheim","Strathcona","53.872318","-112.986923","618.8596802","B",,"Prairie","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1019","1307626","Lamont","Lamont","53.83131","-112.692451","631.0496826","E",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1020","1307631","Andrew","Lamont","53.800499","-112.393845","660.593811","E","YES","Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1021","1307636","Willingdon","Two Hills","53.743744","-112.04409","629.0037842","E",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1022","1307641","Two Hills","Two Hills","53.67614","-111.788589","608.489624","A",,"Prairie","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1023","1307646","Myrnam","Two Hills","53.671288","-111.449608","622.0651245","A","YES","Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1024","1307651","Myrnam","Two Hills","53.639076","-111.22509","611.3358765","A",,"Boreal PLain","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1025","1307656","Derwent","Vermilion River","53.581032","-110.883202","605.3878784","C",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1026","1307661","Dewberry","Vermilion River","53.581261","-110.593414","620.2783203","C","YES","Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1027","1307666","Marwayne","Vermilion River","53.544392","-110.263603","621.1547852","C",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1028","1307671","Marwayne","Vermilion River","53.460358","-110.053764","581.0568848","D",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1029","1314386","Grande Cache","Greenview","54.254326","-120.041786","1573.983032","C",,"Montane Cordillera","Green Area",,"Upper Peace",,"Rocky Mountain","Subalpine",,"Smoky","Smoky",
"1030","1314391","Grande Cache","Greenview","54.213634","-119.750648","1436.89502","C",,"Montane Cordillera","Green Area",,"Upper Peace",,"Rocky Mountain","Subalpine",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"1031","1314396","Grande Cache","Greenview","54.211262","-119.348755","1498.819946","C",,"Montane Cordillera","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Upper Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"1032","1314401","Grande Cache","Greenview","54.192703","-119.045845","1473.207031","D",,"Montane Cordillera","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Rocky Mountain","Subalpine",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"1033","1314406","Muskeg River","Greenview","54.156841","-118.755608","1096.05603","D",,"Boreal PLain","Green Area","Weyerhaeuser Company Limited (Grande Prairie)","Upper Peace",,"Foothills","Upper Foothills",,"Smoky","Smoky","Mighty Peace Watershed Alliance"
"1034","1314411","Muskeg River","Greenview","54.112923","-118.433914","1214.906982","D",,"Montane Cordillera","Green Area",,"Upper Peace",,"Rocky Mountain","Subalpine",,"Foothills","Smoky","Mighty Peace Watershed Alliance"
"1035","1314416","Muskeg River","Greenview","54.099365","-118.176224","1225.041992","B",,"Boreal PLain","Green Area",,"Upper Peace",,"Foothills","Upper Foothills",,"Foothills","Smoky","Mighty Peace Watershed Alliance"
"1036","1314421","Muskeg River","Greenview","54.078339","-117.846275","1128.814941","B",,"Boreal PLain","Green Area","ANC Timber Ltd.","Upper Peace",,"Foothills","Upper Foothills",,"Woodlands","Smoky","Mighty Peace Watershed Alliance"
"1037","1314426","Fox Creek","Greenview","54.092213","-117.601898","1172.975952","B",,"Boreal PLain","Green Area","ANC Timber Ltd.","Upper Peace",,"Foothills","Upper Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1038","1314431","Fox Creek","Greenview","54.031303","-117.230576","985.0073242","E",,"Boreal PLain","Green Area","ANC Timber Ltd.","Upper Peace",,"Foothills","Lower Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1039","1314436","Fox Creek","Greenview","54.04314","-116.995697","984.5095215","E",,"Boreal PLain","Green Area","ANC Timber Ltd.","Upper Peace",,"Foothills","Lower Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1040","1314441","Fox Creek","Yellowhead","54.017391","-116.684761","1061.396973","E",,"Boreal PLain","Green Area","ANC Timber Ltd.","Upper Athabasca",,"Foothills","Upper Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1041","1314446","Peers","Woodlands","53.980541","-116.337242","1052.542969","A",,"Boreal PLain","Green Area","Millar Western Forest Products Limited","Upper Athabasca",,"Foothills","Lower Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1042","1314451","Whitecourt","Yellowhead","53.964378","-116.07502","1089.776978","A",,"Boreal PLain","Green Area","Weyerhaeuser Company Limited (Edson)","Upper Athabasca",,"Foothills","Lower Foothills",,"Foothills","Upper Athabasca","Athabasca Watershed Council"
"1043","1314456","Whitecourt","Woodlands","53.96035","-115.708099","874.7487793","A",,"Boreal PLain","Green Area","Millar Western Forest Products Limited","Upper Athabasca",,"Foothills","Lower Foothills",,"Woodlands","Upper Athabasca","Athabasca Watershed Council"
"1044","1314461","Mayerthorpe","Woodlands","53.93676","-115.429199","889.6497192","C",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Central Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"1045","1314466","Mayerthorpe","Lac Ste. Anne","53.923214","-115.16185","731.736023","C",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"1046","1314471","Sangudo","Lac Ste. Anne","53.837521","-114.837204","726.3380737","C",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"1047","1314476","Cherhill","Lac Ste. Anne","53.807587","-114.497055","724.9636841","D",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central Athabasca - Upper","Athabasca Watershed Council"
"1048","1314481","Gunn","Lac Ste. Anne","53.814579","-114.235542","728.5858765","D",,"Boreal PLain","White Area",,"Upper Athabasca",,"Boreal","Dry Mixedwood",,"Woodlands","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1049","1314486","Sandy Beach","Sturgeon","53.779938","-113.937569","699.7037964","D",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Woodlands","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1050","1314491","Morinville","Sturgeon","53.734978","-113.59774","696.0128174","B",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1052","1314501","Fort Saskatchewan","Strathcona","53.667416","-113.022034","683.0081787","B",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Lac La Biche","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1053","1314506","Chipman","Lamont","53.622387","-112.752403","708.7260132","E",,"Prairie","White Area",,"North Saskatchewan",,"Boreal","Dry Mixedwood",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1054","1314511","Mundare","Lamont","53.575809","-112.461479","689.2506714","E",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1055","1314516","Vegreville","Minburn","53.557209","-112.094841","641.6785278","E",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1057","1314526","Innisfree","Minburn","53.477196","-111.518913","676.6066895","A",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1058","1314531","Mannville","Minburn","53.439003","-111.241508","664.8632202","A",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1059","1314536","Vermilion","Vermilion River","53.442837","-110.965874","633.7252808","C",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1060","1314541","Islay","Vermilion River","53.388893","-110.70417","610.4011841","C",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1061","1314546","Kitscoty","Vermilion River","53.320686","-110.372124","677.9274292","C",,"Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1062","1314551","Blackfoot","Vermilion River","53.289909","-110.139183","664.6868897","D","YES","Prairie","White Area",,"North Saskatchewan",,"Parkland","Central Parkland",,"Prairies","Central North Saskatchewan","North Saskatchewan Watershed Alliance"
"1063","1321271","Grande Cache","Greenview","54.0569","-119.71077","1591.593018","B",,"Montane Cordillera","Green Area",,"Upper Peace",,"Rocky Mountain","Subalpine","Kakwa Wildland","Smoky","Smoky","Mighty Peace Watershed Alliance"
"1064","1321276","Grande Cache","Greenview","53.991795","-119.446121","1616.546997","B",,"Montane Cordillera","Green Area",,"Upper Peace",,"Rocky Mountain","Subalpine",,"Foothills","Smoky","Mighty Peace Watershed Alliance"
"1065","1321281","Grande Cache","Greenview","53.984768","-119.137558","1069.807007","E",,"Montane Cordillera","Green Area",,"Upper Peace",,"Rocky Mountain","Montane",,"Foothills","Smoky","Mighty Peace Watershed Alliance"
"1066","1321286","Muskeg River","Greenview","53.984592","-118.788918","1544.737061","E",,"Montane Cordillera","Green Area",,"Upper Peace",,"Rocky Mountain","Subalpine",,"Foothills","Smoky","Mighty Peace Watershed Alliance"
